time,open,high,low,close,volumefrom,volumeto,fiat
2021-08-13 12:00:00,46202.51,46649.04,46173.06,46542.01,1235.3,57400343.1,USD
2021-08-13 13:00:00,46542.01,46685.21,46442.55,46557.29,944.62,43983321.9,USD
2021-08-13 14:00:00,46557.29,46645.01,46304.13,46460.59,1017.26,47284037.32,USD
2021-08-13 15:00:00,46460.59,46532.72,46189.47,46405.3,1209.39,56010447.63,USD
2021-08-13 16:00:00,46405.3,46554.66,46255.74,46553.75,804.12,37337052.28,USD
2021-08-13 17:00:00,46553.75,46639.99,46426.21,46514.82,891.99,41507975.43,USD
2021-08-13 18:00:00,46514.82,46632.54,46396.07,46514.37,718.15,33421208.67,USD
2021-08-13 19:00:00,46514.37,46548.32,46307.11,46482.99,673.66,31266564.88,USD
2021-08-13 20:00:00,46482.99,47890.79,46440.25,47606.58,5831.18,276203293.67,USD
2021-08-13 21:00:00,47606.58,47840.06,47551.0,47586.88,1881.84,89774372.92,USD
2021-08-13 22:00:00,47586.88,47674.29,47509.51,47583.41,901.99,42927505.7,USD
2021-08-13 23:00:00,47583.41,47867.32,47545.36,47832.93,1049.8,50066463.18,USD
2021-08-14 00:00:00,47832.93,47853.16,47539.91,47643.11,958.37,45710781.6,USD
2021-08-14 01:00:00,47643.11,47774.97,47592.89,47599.45,756.3,36051366.2,USD
2021-08-14 02:00:00,47599.45,47654.31,47425.33,47586.06,613.46,29171426.38,USD
2021-08-14 03:00:00,47586.06,47610.39,47458.59,47572.11,441.22,20977594.52,USD
2021-08-14 04:00:00,47572.11,47683.42,47474.22,47480.54,478.99,22785654.34,USD
2021-08-14 05:00:00,47480.54,47599.56,47471.46,47557.74,346.45,16470310.19,USD
2021-08-14 06:00:00,47557.74,47691.4,47538.69,47549.55,362.69,17268070.51,USD
2021-08-14 07:00:00,47549.55,47741.77,47523.4,47646.07,449.5,21430202.22,USD
2021-08-14 08:00:00,47646.07,47720.6,47569.55,47629.39,382.97,18246490.88,USD
2021-08-14 09:00:00,47629.39,48136.25,46826.34,46993.79,3082.47,146921203.67,USD
2021-08-14 10:00:00,46993.79,47264.46,46145.58,46346.55,3442.34,160857636.77,USD
2021-08-14 11:00:00,46346.55,46595.02,46049.28,46588.79,1630.84,75544031.82,USD
2021-08-14 12:00:00,46588.79,46608.57,46291.98,46310.09,1183.25,54927119.09,USD
2021-08-14 13:00:00,46310.09,46531.64,46146.91,46531.64,929.68,43101781.99,USD
2021-08-14 14:00:00,46531.64,46969.0,46485.78,46936.23,1294.14,60523461.02,USD
2021-08-14 15:00:00,46936.23,46970.2,46606.15,46967.94,1199.6,56223349.27,USD
2021-08-14 16:00:00,46967.94,47011.67,46709.65,46897.15,715.25,33525658.69,USD
2021-08-14 17:00:00,46897.15,46912.6,46641.95,46829.76,519.85,24329914.04,USD
2021-08-14 18:00:00,46829.76,46902.01,46726.95,46775.29,413.52,19351413.24,USD
2021-08-14 19:00:00,46775.29,47370.29,46718.75,47084.85,1214.59,57208884.95,USD
2021-08-14 20:00:00,47084.85,47084.85,46386.89,46683.27,1410.89,65772087.72,USD
2021-08-14 21:00:00,46683.27,47082.4,46675.56,47049.76,633.38,29688812.56,USD
2021-08-14 22:00:00,47049.76,47237.69,46882.72,46884.43,774.14,36417554.52,USD
2021-08-14 23:00:00,46884.43,47210.76,46877.9,47102.03,594.64,27994732.61,USD
2021-08-15 00:00:00,47102.03,47242.01,46969.4,47215.78,530.71,25015507.69,USD
2021-08-15 01:00:00,47215.78,47390.93,47128.98,47165.54,454.2,21457851.46,USD
2021-08-15 02:00:00,47165.54,47357.88,47137.71,47225.93,416.48,19689951.59,USD
2021-08-15 03:00:00,47225.93,47287.2,46860.64,46909.48,499.93,23539715.86,USD
2021-08-15 04:00:00,46909.48,46922.57,46525.9,46748.65,704.27,32891227.74,USD
2021-08-15 05:00:00,46748.65,46898.44,46568.91,46661.88,360.15,16833350.85,USD
2021-08-15 06:00:00,46661.88,46798.28,46345.22,46472.45,481.8,22404258.84,USD
2021-08-15 07:00:00,46472.45,46492.99,45713.09,45786.98,1987.88,91467904.02,USD
2021-08-15 08:00:00,45786.98,45947.81,45620.13,45776.09,1001.71,45866369.09,USD
2021-08-15 09:00:00,45776.09,46182.75,45689.31,46064.51,536.7,24664018.75,USD
2021-08-15 10:00:00,46064.51,46176.7,45840.77,45965.11,508.46,23396900.74,USD
2021-08-15 11:00:00,45965.11,46127.7,45702.24,45960.11,630.82,28983825.08,USD
2021-08-15 12:00:00,45960.11,46085.12,45753.71,45836.15,564.69,25911514.08,USD
2021-08-15 13:00:00,45836.15,46078.71,45595.22,46078.69,810.71,37158939.48,USD
2021-08-15 14:00:00,46078.69,46514.13,45814.36,45926.39,1043.45,48206094.2,USD
2021-08-15 15:00:00,45926.39,46209.94,45871.1,46199.81,505.83,23270344.8,USD
2021-08-15 16:00:00,46199.81,46355.19,45890.57,45905.51,608.13,28037849.12,USD
2021-08-15 17:00:00,45905.51,46078.87,45676.54,46005.46,743.61,34105458.36,USD
2021-08-15 18:00:00,46005.46,46314.47,45884.83,46312.3,954.75,44041859.03,USD
2021-08-15 19:00:00,46312.3,46451.55,46123.71,46371.3,679.18,31435861.47,USD
2021-08-15 20:00:00,46371.3,46758.0,46304.15,46725.35,864.41,40256839.81,USD
2021-08-15 21:00:00,46725.35,47008.39,46499.31,46884.35,734.23,34375656.68,USD
2021-08-15 22:00:00,46884.35,47279.67,46882.76,47254.48,1050.71,49541736.16,USD
2021-08-15 23:00:00,47254.48,47332.23,46935.48,47015.94,1360.05,64110859.94,USD
2021-08-16 00:00:00,47015.94,47839.51,46817.72,47594.93,2792.65,132736474.74,USD
2021-08-16 01:00:00,47594.93,47717.09,47514.32,47670.06,697.92,33223822.43,USD
2021-08-16 02:00:00,47670.06,48008.71,47598.21,48002.55,1327.55,63476146.74,USD
2021-08-16 03:00:00,48002.55,48064.42,47349.96,47388.25,1147.33,54672105.49,USD
2021-08-16 04:00:00,47388.25,47575.05,47382.84,47427.96,587.06,27879608.67,USD
2021-08-16 05:00:00,47427.96,47638.54,47426.56,47634.87,365.69,17376874.32,USD
2021-08-16 06:00:00,47634.87,47726.57,47236.0,47372.05,656.4,31137857.2,USD
2021-08-16 07:00:00,47372.05,47525.31,47317.58,47335.04,361.21,17122145.25,USD
2021-08-16 08:00:00,47335.04,47431.27,47024.79,47162.74,700.83,33075343.3,USD
2021-08-16 09:00:00,47162.74,47247.01,47063.64,47187.41,552.78,26070404.63,USD
2021-08-16 10:00:00,47187.41,47551.76,47185.65,47434.85,1143.15,54171499.92,USD
2021-08-16 11:00:00,47434.85,47672.2,47399.62,47550.59,931.23,44281500.98,USD
2021-08-16 12:00:00,47550.59,47707.84,47181.64,47319.13,1042.0,49371699.8,USD
2021-08-16 13:00:00,47319.13,47381.28,46322.74,46412.02,2971.26,138773121.16,USD
2021-08-16 14:00:00,46412.02,46577.64,46090.77,46104.16,2754.34,127593160.05,USD
2021-08-16 15:00:00,46104.16,46360.56,45987.36,46356.19,2308.82,106636283.34,USD
2021-08-16 16:00:00,46356.19,46537.88,46238.7,46434.63,1122.72,52089535.94,USD
2021-08-16 17:00:00,46434.63,46538.26,46197.39,46484.84,898.76,41688486.14,USD
2021-08-16 18:00:00,46484.84,46653.02,46395.51,46488.73,695.12,32334698.39,USD
2021-08-16 19:00:00,46488.73,46488.73,46087.06,46097.35,879.63,40704460.43,USD
2021-08-16 20:00:00,46097.35,46110.4,45681.1,46077.79,1967.8,90212718.42,USD
2021-08-16 21:00:00,46077.79,46242.66,45908.34,46070.13,747.59,34446499.16,USD
2021-08-16 22:00:00,46070.13,46346.24,46007.57,46122.58,821.92,37963946.26,USD
2021-08-16 23:00:00,46122.58,46193.99,45745.56,45927.4,986.25,45338970.92,USD
2021-08-17 00:00:00,45927.4,46073.34,45294.84,45776.87,2343.77,106861122.56,USD
2021-08-17 01:00:00,45776.87,46387.18,45747.73,46294.77,1810.54,83583188.82,USD
2021-08-17 02:00:00,46294.77,46438.45,46169.06,46436.29,827.01,38313913.45,USD
2021-08-17 03:00:00,46436.29,46619.08,46365.16,46436.47,791.49,36791010.85,USD
