id,symbol,partner_symbol,data_available_from
903690,CBC,CBC,2018-03-21 00:00:00
709053,CBT,CBT,2017-12-21 00:00:00
924982,CCCX,CCCX,2018-04-26 00:00:00
925566,CCL,CCL,2018-04-09 00:00:00
920734,CCO,CCO,2017-11-28 00:00:00
35818,CCRB,CCRB,2016-08-16 00:00:00
301191,CCT,CCT,2017-09-03 00:00:00
177139,CDT,CDT,2017-07-25 00:00:00
412267,CDX,CDX,2017-08-26 00:00:00
797331,CEDEX,CEDEX,2018-05-03 00:00:00
853825,CEEK,CEEK,2018-06-01 00:00:00
799472,CEL,CEL,2018-04-11 00:00:00
929546,CELR,CELR,2019-03-19 00:00:00
928394,CEN,CEN,2018-07-12 00:00:00
922616,CENNZ,CENNZ,2018-01-09 00:00:00
916813,CET,CET,2018-03-22 00:00:00
52008,CHAT,CHAT,2017-12-07 00:00:00
819737,CHP,CHP,2018-01-18 00:00:00
752993,CHSB,CHSB,2017-11-01 00:00:00
860166,CHT,CHT,2018-04-03 00:00:00
877236,CHX,CHX,2018-03-25 00:00:00
382617,CJT,CJT,2018-02-14 00:00:00
659393,CL,CL,2017-10-23 00:00:00
789504,CLN,CLN,2018-02-11 00:00:00
793021,CMCT,CMCT,2018-04-26 00:00:00
374358,CMS,CMS,2017-11-30 00:00:00
439963,CMT,CMT,2017-12-05 00:00:00
338070,CND,CND,2017-09-09 00:00:00
890069,CNN,CNN,2018-02-28 00:00:00
289715,CNX,CNX,2017-09-05 00:00:00
234811,COB,COB,2017-09-11 00:00:00
436320,COFI,COFI,2018-01-26 00:00:00
384859,COIN,COIN,2018-05-15 00:00:00
920245,CONI,CONI,2018-05-30 00:00:00
925380,COSM,COSM,2018-04-08 00:00:00
924916,COT,COT,2018-11-01 00:00:00
912904,COU,COU,2018-05-16 00:00:00
338426,COV,COV,2017-10-15 00:00:00
930305,COVA,COVA,2018-12-16 00:00:00
345674,CPAY,CPAY,2017-11-29 00:00:00
730988,CPCH,CPC,2018-01-17 00:00:00
918997,CPT,CPT,2018-01-19 00:00:00
692869,CPY,CPY,2017-12-19 00:00:00
17547,CRB,CRB,2017-03-13 00:00:00
392253,CRDS,CS,2018-02-17 00:00:00
502301,CRED,LBA,2017-12-05 00:00:00
382450,CREDO,CREDO,2017-06-02 00:00:00
929418,CRO,CRO,2018-11-14 00:00:00
710597,CRPT,CRPT,2017-11-07 00:00:00
737393,CRYC,CRC,2017-12-14 00:00:00
889350,CSEN,SEN,2018-03-27 00:00:00
930028,CSM,CSM,2018-02-03 00:00:00
202714,CSNO,CSNO,2017-09-20 00:00:00
925807,CSP,CSP,2018-09-20 00:00:00
856139,CTXC,CTXC,2018-03-10 00:00:00
20688,CUBE,AUTO,2018-02-20 00:00:00
713925,CV,CV,2017-12-13 00:00:00
139467,CVC,CVC,2017-07-12 00:00:00
879044,CVT,CVT,2018-03-04 00:00:00
745054,CXO,CXO,2018-01-18 00:00:00
925578,DACC,DACC,2018-05-31 00:00:00
778953,DADI,DADI,2017-11-20 00:00:00
925129,DAG,DAG,2018-05-24 00:00:00
929176,DAGT,DAGT,2018-04-11 00:00:00
769546,DAI,DAI,2017-12-18 00:00:00
889339,DAN,DAN,2017-12-01 00:00:00
177831,DAOC,BET,2017-07-25 00:00:00
925707,DAPS,DAPS,2018-06-29 00:00:00
3807,DASH,DASH,2014-01-19 00:00:00
335505,DAT,DAT,2017-12-09 00:00:00
369151,DATA,DATA,2017-07-24 00:00:00
814081,DATX,DATX,2018-02-03 00:00:00
925662,DAV,DAV,2018-06-09 00:00:00
925586,DAX,DAX,2018-02-10 00:00:00
336705,DAY,DAY,2017-09-18 00:00:00
380712,DBET,DBET,2017-10-26 00:00:00
218906,DCN,DCN,2017-02-14 00:00:00
729809,DDD,DDD,2018-01-22 00:00:00
408765,DEB,DEB,2017-12-07 00:00:00
417510,DEC,DEC,2018-05-30 00:00:00
141331,DENT,DENT,2017-07-12 00:00:00
926176,DFXT,DFT,2018-03-16 00:00:00
18907,DGD,DGD,2016-04-29 00:00:00
925440,DGTX,DGTX,2018-01-15 00:00:00
917414,DGX,DGX,2018-03-23 00:00:00
89572,DICE,DICE,2017-02-13 00:00:00
800121,DIG,DIG,2018-02-21 00:00:00
929433,DIO,DIO,2019-03-06 00:00:00
220204,DLT,DLT,2017-09-06 00:00:00
869896,DML,DML,2018-04-23 00:00:00
192400,DMT,DMT,2017-12-14 00:00:00
180804,DNA,DNA,2017-11-18 00:00:00
177175,DNT,DNT,2017-07-17 00:00:00
866363,DOCK,DOCK,2018-02-21 00:00:00
4432,DOGE,DOGE,2013-12-06 00:00:00
927402,DOOH,DOOH,2018-08-14 00:00:00
360827,DOV,DOV,2017-10-03 00:00:00
913722,DOW,DOW,2018-02-28 00:00:00
925525,DPY,DPY,2017-08-30 00:00:00
